Step L2_Error H1_Error
0 0.9083349586372549 3.257474899291992
10 1.0401981801121412 3.324779748916626
20 0.9960784115392874 3.251086950302124
30 0.9575279046170271 3.185034990310669
40 0.9244726355089812 3.0855712890625
50 0.8711190868522293 2.902270555496216
60 0.7591270992299697 2.5439460277557373
70 0.5436079703390805 1.8913613557815552
80 0.3664545023246623 1.4076299667358398
90 0.4566388638563282 1.5192930698394775
100 0.338490211415466 1.216076135635376
110 0.25146442858144014 0.8744771480560303
120 0.147543504883151 0.6296037435531616
130 0.21559989770128543 0.7761991024017334
140 0.1949935728161402 0.7039727568626404
150 0.1778564012703289 0.571789562702179
160 0.3637988214173998 1.2554842233657837
170 0.5706608047326166 1.7905713319778442
180 0.4869609876561161 1.6458948850631714
190 0.4085425367208374 1.313606858253479
