Step L2_Error H1_Error
0 0.885462476188182 3.1200690269470215
10 1.056955867310181 3.3916707038879395
20 1.0273819615823763 3.3268067836761475
30 0.9959445659618075 3.2918126583099365
40 0.9931430838070935 3.292646884918213
50 1.00252628729741 3.298935651779175
60 1.0024165385791013 3.301044464111328
70 0.9991660451872693 3.2983431816101074
80 0.9990880117194428 3.299046277999878
90 1.0002675893713555 3.300783157348633
100 1.0004087280678797 3.294483184814453
110 1.000208678609822 3.3042359352111816
120 1.0000340927872362 3.3009541034698486
130 1.0000005808947687 3.295290231704712
140 1.0000195775223606 3.2838988304138184
150 1.0000302669269094 3.302295446395874
160 1.000031666566782 3.2914445400238037
170 1.0000383872473853 3.299145460128784
180 1.0000367195683635 3.2947733402252197
190 1.000032240671455 3.292943000793457
