Step L2_Error H1_Error
0 0.9609400110328905 3.2079415321350098
10 0.996913142053159 3.336230516433716
20 1.0102134801204319 3.3345181941986084
30 1.0196523746504014 3.343841075897217
40 1.0146695064270186 3.328075408935547
50 1.0068611717000369 3.312825918197632
60 1.0030910672303701 3.3217756748199463
70 1.002266493979988 3.308316707611084
80 1.0018333170296045 3.301574468612671
90 1.000380422740512 3.2968006134033203
100 0.9987714748504659 3.2903780937194824
110 0.99686822077388 3.287515640258789
120 0.9948312182422677 3.278735637664795
130 0.9926946708251368 3.281057834625244
140 0.990470412683617 3.2705602645874023
150 0.9881071158018387 3.256822347640991
160 0.9855495732533194 3.248548984527588
170 0.9828633657298981 3.2487401962280273
180 0.9799439016565721 3.2365975379943848
190 0.9768185183895487 3.2204537391662598
